date,total_trades,total_volume_usd,avg_execution_price,median_fee,unique_accounts,avg_closed_pnl,win_rate,value,classification,sentiment_group
2023-05-01,3.0,477.0,1898.1333333333332,0.0,1.0,0.0,0.0,63.0,Greed,Greed
2023-05-02,,,,,,,,63.0,Greed,Greed
2023-05-03,,,,,,,,63.0,Greed,Greed
2023-05-04,,,,,,,,63.0,Greed,Greed
2023-05-05,,,,,,,,63.0,Greed,Greed
2023-05-06,,,,,,,,63.0,Greed,Greed
2023-05-07,,,,,,,,63.0,Greed,Greed
2023-05-08,,,,,,,,63.0,Greed,Greed
2023-05-09,,,,,,,,63.0,Greed,Greed
2023-05-10,,,,,,,,63.0,Greed,Greed
2023-05-11,,,,,,,,63.0,Greed,Greed
2023-05-12,,,,,,,,63.0,Greed,Greed
2023-05-13,,,,,,,,63.0,Greed,Greed
2023-05-14,,,,,,,,63.0,Greed,Greed
2023-05-15,,,,,,,,63.0,Greed,Greed
2023-05-16,,,,,,,,63.0,Greed,Greed
2023-05-17,,,,,,,,63.0,Greed,Greed
2023-05-18,,,,,,,,63.0,Greed,Greed
2023-05-19,,,,,,,,63.0,Greed,Greed
2023-05-20,,,,,,,,63.0,Greed,Greed
2023-05-21,,,,,,,,63.0,Greed,Greed
2023-05-22,,,,,,,,63.0,Greed,Greed
2023-05-23,,,,,,,,63.0,Greed,Greed
2023-05-24,,,,,,,,63.0,Greed,Greed
2023-05-25,,,,,,,,63.0,Greed,Greed
2023-05-26,,,,,,,,63.0,Greed,Greed
2023-05-27,,,,,,,,63.0,Greed,Greed
2023-05-28,,,,,,,,63.0,Greed,Greed
2023-05-29,,,,,,,,63.0,Greed,Greed
2023-05-30,,,,,,,,63.0,Greed,Greed
2023-05-31,,,,,,,,63.0,Greed,Greed
2023-06-01,,,,,,,,63.0,Greed,Greed
2023-06-02,,,,,,,,63.0,Greed,Greed
2023-06-03,,,,,,,,63.0,Greed,Greed
2023-06-04,,,,,,,,63.0,Greed,Greed
2023-06-05,,,,,,,,63.0,Greed,Greed
2023-06-06,,,,,,,,63.0,Greed,Greed
2023-06-07,,,,,,,,63.0,Greed,Greed
2023-06-08,,,,,,,,63.0,Greed,Greed
2023-06-09,,,,,,,,63.0,Greed,Greed
2023-06-10,,,,,,,,63.0,Greed,Greed
2023-06-11,,,,,,,,63.0,Greed,Greed
2023-06-12,,,,,,,,63.0,Greed,Greed
2023-06-13,,,,,,,,63.0,Greed,Greed
2023-06-14,,,,,,,,63.0,Greed,Greed
2023-06-15,,,,,,,,63.0,Greed,Greed
2023-06-16,,,,,,,,63.0,Greed,Greed
2023-06-17,,,,,,,,63.0,Greed,Greed
2023-06-18,,,,,,,,63.0,Greed,Greed
2023-06-19,,,,,,,,63.0,Greed,Greed
2023-06-20,,,,,,,,63.0,Greed,Greed
2023-06-21,,,,,,,,63.0,Greed,Greed
2023-06-22,,,,,,,,63.0,Greed,Greed
2023-06-23,,,,,,,,63.0,Greed,Greed
2023-06-24,,,,,,,,63.0,Greed,Greed
2023-06-25,,,,,,,,63.0,Greed,Greed
2023-06-26,,,,,,,,63.0,Greed,Greed
2023-06-27,,,,,,,,63.0,Greed,Greed
2023-06-28,,,,,,,,63.0,Greed,Greed
2023-06-29,,,,,,,,63.0,Greed,Greed
2023-06-30,,,,,,,,63.0,Greed,Greed
2023-07-01,,,,,,,,63.0,Greed,Greed
2023-07-02,,,,,,,,63.0,Greed,Greed
2023-07-03,,,,,,,,63.0,Greed,Greed
2023-07-04,,,,,,,,63.0,Greed,Greed
2023-07-05,,,,,,,,63.0,Greed,Greed
2023-07-06,,,,,,,,63.0,Greed,Greed
2023-07-07,,,,,,,,63.0,Greed,Greed
2023-07-08,,,,,,,,63.0,Greed,Greed
2023-07-09,,,,,,,,63.0,Greed,Greed
2023-07-10,,,,,,,,63.0,Greed,Greed
2023-07-11,,,,,,,,63.0,Greed,Greed
2023-07-12,,,,,,,,63.0,Greed,Greed
2023-07-13,,,,,,,,63.0,Greed,Greed
2023-07-14,,,,,,,,63.0,Greed,Greed
2023-07-15,,,,,,,,63.0,Greed,Greed
2023-07-16,,,,,,,,63.0,Greed,Greed
2023-07-17,,,,,,,,63.0,Greed,Greed
2023-07-18,,,,,,,,63.0,Greed,Greed
2023-07-19,,,,,,,,63.0,Greed,Greed
2023-07-20,,,,,,,,63.0,Greed,Greed
2023-07-21,,,,,,,,63.0,Greed,Greed
2023-07-22,,,,,,,,63.0,Greed,Greed
2023-07-23,,,,,,,,63.0,Greed,Greed
2023-07-24,,,,,,,,63.0,Greed,Greed
2023-07-25,,,,,,,,63.0,Greed,Greed
2023-07-26,,,,,,,,63.0,Greed,Greed
2023-07-27,,,,,,,,63.0,Greed,Greed
2023-07-28,,,,,,,,63.0,Greed,Greed
2023-07-29,,,,,,,,63.0,Greed,Greed
2023-07-30,,,,,,,,63.0,Greed,Greed
2023-07-31,,,,,,,,63.0,Greed,Greed
2023-08-01,,,,,,,,63.0,Greed,Greed
2023-08-02,,,,,,,,63.0,Greed,Greed
2023-08-03,,,,,,,,63.0,Greed,Greed
2023-08-04,,,,,,,,63.0,Greed,Greed
2023-08-05,,,,,,,,63.0,Greed,Greed
2023-08-06,,,,,,,,63.0,Greed,Greed
2023-08-07,,,,,,,,63.0,Greed,Greed
2023-08-08,,,,,,,,63.0,Greed,Greed
2023-08-09,,,,,,,,63.0,Greed,Greed
2023-08-10,,,,,,,,63.0,Greed,Greed
2023-08-11,,,,,,,,63.0,Greed,Greed
2023-08-12,,,,,,,,63.0,Greed,Greed
2023-08-13,,,,,,,,63.0,Greed,Greed
2023-08-14,,,,,,,,63.0,Greed,Greed
2023-08-15,,,,,,,,63.0,Greed,Greed
2023-08-16,,,,,,,,63.0,Greed,Greed
2023-08-17,,,,,,,,63.0,Greed,Greed
2023-08-18,,,,,,,,63.0,Greed,Greed
2023-08-19,,,,,,,,63.0,Greed,Greed
2023-08-20,,,,,,,,63.0,Greed,Greed
2023-08-21,,,,,,,,63.0,Greed,Greed
2023-08-22,,,,,,,,63.0,Greed,Greed
2023-08-23,,,,,,,,63.0,Greed,Greed
2023-08-24,,,,,,,,63.0,Greed,Greed
2023-08-25,,,,,,,,63.0,Greed,Greed
2023-08-26,,,,,,,,63.0,Greed,Greed
2023-08-27,,,,,,,,63.0,Greed,Greed
2023-08-28,,,,,,,,63.0,Greed,Greed
2023-08-29,,,,,,,,63.0,Greed,Greed
2023-08-30,,,,,,,,63.0,Greed,Greed
2023-08-31,,,,,,,,63.0,Greed,Greed
2023-09-01,,,,,,,,63.0,Greed,Greed
2023-09-02,,,,,,,,63.0,Greed,Greed
2023-09-03,,,,,,,,63.0,Greed,Greed
2023-09-04,,,,,,,,63.0,Greed,Greed
2023-09-05,,,,,,,,63.0,Greed,Greed
2023-09-06,,,,,,,,63.0,Greed,Greed
2023-09-07,,,,,,,,63.0,Greed,Greed
2023-09-08,,,,,,,,63.0,Greed,Greed
2023-09-09,,,,,,,,63.0,Greed,Greed
2023-09-10,,,,,,,,63.0,Greed,Greed
2023-09-11,,,,,,,,63.0,Greed,Greed
2023-09-12,,,,,,,,63.0,Greed,Greed
2023-09-13,,,,,,,,63.0,Greed,Greed
2023-09-14,,,,,,,,63.0,Greed,Greed
2023-09-15,,,,,,,,63.0,Greed,Greed
2023-09-16,,,,,,,,63.0,Greed,Greed
2023-09-17,,,,,,,,63.0,Greed,Greed
2023-09-18,,,,,,,,63.0,Greed,Greed
2023-09-19,,,,,,,,63.0,Greed,Greed
2023-09-20,,,,,,,,63.0,Greed,Greed
2023-09-21,,,,,,,,63.0,Greed,Greed
2023-09-22,,,,,,,,63.0,Greed,Greed
2023-09-23,,,,,,,,63.0,Greed,Greed
2023-09-24,,,,,,,,63.0,Greed,Greed
2023-09-25,,,,,,,,63.0,Greed,Greed
2023-09-26,,,,,,,,63.0,Greed,Greed
2023-09-27,,,,,,,,63.0,Greed,Greed
2023-09-28,,,,,,,,63.0,Greed,Greed
2023-09-29,,,,,,,,63.0,Greed,Greed
2023-09-30,,,,,,,,63.0,Greed,Greed
2023-10-01,,,,,,,,63.0,Greed,Greed
2023-10-02,,,,,,,,63.0,Greed,Greed
2023-10-03,,,,,,,,63.0,Greed,Greed
2023-10-04,,,,,,,,63.0,Greed,Greed
2023-10-05,,,,,,,,63.0,Greed,Greed
2023-10-06,,,,,,,,63.0,Greed,Greed
2023-10-07,,,,,,,,63.0,Greed,Greed
2023-10-08,,,,,,,,63.0,Greed,Greed
2023-10-09,,,,,,,,63.0,Greed,Greed
2023-10-10,,,,,,,,63.0,Greed,Greed
2023-10-11,,,,,,,,63.0,Greed,Greed
2023-10-12,,,,,,,,63.0,Greed,Greed
2023-10-13,,,,,,,,63.0,Greed,Greed
2023-10-14,,,,,,,,63.0,Greed,Greed
2023-10-15,,,,,,,,63.0,Greed,Greed
2023-10-16,,,,,,,,63.0,Greed,Greed
2023-10-17,,,,,,,,63.0,Greed,Greed
2023-10-18,,,,,,,,63.0,Greed,Greed
2023-10-19,,,,,,,,63.0,Greed,Greed
2023-10-20,,,,,,,,63.0,Greed,Greed
2023-10-21,,,,,,,,63.0,Greed,Greed
2023-10-22,,,,,,,,63.0,Greed,Greed
2023-10-23,,,,,,,,63.0,Greed,Greed
2023-10-24,,,,,,,,63.0,Greed,Greed
2023-10-25,,,,,,,,63.0,Greed,Greed
2023-10-26,,,,,,,,63.0,Greed,Greed
2023-10-27,,,,,,,,63.0,Greed,Greed
2023-10-28,,,,,,,,63.0,Greed,Greed
2023-10-29,,,,,,,,63.0,Greed,Greed
2023-10-30,,,,,,,,63.0,Greed,Greed
2023-10-31,,,,,,,,63.0,Greed,Greed
2023-11-01,,,,,,,,63.0,Greed,Greed
2023-11-02,,,,,,,,63.0,Greed,Greed
2023-11-03,,,,,,,,63.0,Greed,Greed
2023-11-04,,,,,,,,63.0,Greed,Greed
2023-11-05,,,,,,,,63.0,Greed,Greed
2023-11-06,,,,,,,,63.0,Greed,Greed
2023-11-07,,,,,,,,63.0,Greed,Greed
2023-11-08,,,,,,,,63.0,Greed,Greed
2023-11-09,,,,,,,,63.0,Greed,Greed
2023-11-10,,,,,,,,63.0,Greed,Greed
2023-11-11,,,,,,,,63.0,Greed,Greed
2023-11-12,,,,,,,,63.0,Greed,Greed
2023-11-13,,,,,,,,63.0,Greed,Greed
2023-11-14,,,,,,,,63.0,Greed,Greed
2023-11-15,,,,,,,,63.0,Greed,Greed
2023-11-16,,,,,,,,63.0,Greed,Greed
2023-11-17,,,,,,,,63.0,Greed,Greed
2023-11-18,,,,,,,,63.0,Greed,Greed
2023-11-19,,,,,,,,63.0,Greed,Greed
2023-11-20,,,,,,,,63.0,Greed,Greed
2023-11-21,,,,,,,,63.0,Greed,Greed
2023-11-22,,,,,,,,63.0,Greed,Greed
2023-11-23,,,,,,,,63.0,Greed,Greed
2023-11-24,,,,,,,,63.0,Greed,Greed
2023-11-25,,,,,,,,63.0,Greed,Greed
2023-11-26,,,,,,,,63.0,Greed,Greed
2023-11-27,,,,,,,,63.0,Greed,Greed
2023-11-28,,,,,,,,63.0,Greed,Greed
2023-11-29,,,,,,,,63.0,Greed,Greed
2023-11-30,,,,,,,,63.0,Greed,Greed
2023-12-01,,,,,,,,63.0,Greed,Greed
2023-12-02,,,,,,,,63.0,Greed,Greed
2023-12-03,,,,,,,,63.0,Greed,Greed
2023-12-04,,,,,,,,63.0,Greed,Greed
2023-12-05,9.0,50005.83,11038.3,0.483987,1.0,0.0,0.0,75.0,Extreme Greed,Greed
2023-12-06,,,,,,,,75.0,Extreme Greed,Greed
2023-12-07,,,,,,,,75.0,Extreme Greed,Greed
2023-12-08,,,,,,,,75.0,Extreme Greed,Greed
2023-12-09,,,,,,,,75.0,Extreme Greed,Greed
2023-12-10,,,,,,,,75.0,Extreme Greed,Greed
2023-12-11,,,,,,,,75.0,Extreme Greed,Greed
2023-12-12,,,,,,,,75.0,Extreme Greed,Greed
2023-12-13,,,,,,,,75.0,Extreme Greed,Greed
2023-12-14,11.0,113203.35,8031.868818181818,2.169319,1.0,-18.675885181818188,0.36363636363636365,72.0,Greed,Greed
2023-12-15,2.0,10609.95,2.982,1.3262445,1.0,-12.316016999999999,0.0,70.0,Greed,Greed
2023-12-16,3.0,15348.77,0.3847066666666667,1.170034,1.0,0.0,0.0,67.0,Greed,Greed
2023-12-17,14.0,116278.02,802.5418592857143,1.3420045,1.0,21.78448464285714,0.5,73.0,Greed,Greed
